18127001;Nguyen Van;An;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127002;Tran Van;Binh;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127003;Le Van;Nam;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127004;Tran Van;Moi;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127005;Thai Van;Chuc;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127006;Ho Van;Mung;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127008;Hua Van;Moi;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127009;Truong Van;Kiet;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127010;Do Van;Tung;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127007;Dinh Van;Nam;0;0;0;0;0;0;0;0;0;0;0;0;0;0
