18127301;Nguyen Van;Minh;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127302;Tran Van;Bac;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127303;Le Van;Nam;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127304;Tran Van;Moi;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127305;Thai Van;Chuc;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127306;Ho Van;Mot;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127307;Dinh Van;Nam;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127308;Hua Van;Nha;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127309;Truong Van;Kiet;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127310;Do Van;Tung;0;0;0;0;0;0;0;0;0;0;0;0;0;0
