18127001;01;08;2000
18127002;02;02;2000
18127003;03;03;2000
18127004;04;04;2000
18127005;05;07;2000
18127006;06;07;2000
18127007;07;07;2000
18127008;08;07;2000
18127009;09;07;2000
18127010;10;07;2000
18127021;01;08;2000
18127022;02;02;2000
18127023;03;03;2000
18127024;04;04;2000
18127025;05;07;2000
18127026;06;07;2000
18127027;07;07;2000
18127028;08;07;2000
18127029;09;07;2000
18127030;10;07;2000
18127204;01;07;2000
18127141;02;02;2000
18127238;03;03;2000
18127024;04;04;2000
18127005;05;07;2000
18127006;14;07;2000
18127007;07;07;2000
18127008;08;04;2000
18127009;09;07;2000
18127010;10;03;2000
18127031;01;08;2000
18127032;12;02;2000
18127033;03;03;2000
18127034;04;04;2000
18127035;25;07;2000
18127036;06;07;2000
18127037;07;07;2000
18127038;08;07;2000
18127039;09;07;2000
18127040;10;07;2000
18127301;01;09;2000
18127302;02;08;2000
18127303;03;03;2000
18127304;04;04;2000
18127305;05;07;2000
18127306;06;09;2000
18127307;07;07;2000
18127308;08;09;2000
18127309;09;07;2000
18127310;10;07;2000
18127401;03;08;2000
18127402;12;02;2000
18127403;03;03;2000
18127404;04;04;2000
18127405;05;07;2000
18127406;06;07;2000
18127407;07;07;2000
18127408;08;07;2000
18127409;09;07;2000
18127410;10;07;2000
admin;admin;admin;admin
