18127401;Nguyen Van;Sinh;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127402;Tran Van;Song;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127403;Le Van;Tuong;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127404;Tran Van;De;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127405;Thai Van;Chuc;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127406;Ho Van;Mung;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127407;Dinh Van;Nam;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127408;Hua Van;Moi;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127409;Truong Van;Kiet;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127410;Do Van;Tung;0;0;0;0;0;0;0;0;0;0;0;0;0;0
