18127031;Nguyen Van;Dung;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127032;Tran Van;Hoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127033;Le Van;Duc;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127034;Tran Van;Kien;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127035;Thai Van;Chuc;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127036;Ho Van;Mung;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127037;Dinh Van;Nam;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127038;Hua Van;Moi;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127039;Truong Van;Kiet;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127040;Do Van;Tung;0;0;0;0;0;0;0;0;0;0;0;0;0;0
