18127021;Nguyen Van;Sang;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127022;Tran Van;Banh;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127023;Le Van;Kien;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127024;Tran Van;Moi;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127025;Thai Van;Chuc;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127026;Ho Van;Mung;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127027;Dinh Van;Nam;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127028;Hua Van;Moi;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127029;Truong Van;Kiet;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18127030;Do Van;Tung;0;0;0;0;0;0;0;0;0;0;0;0;0;0
